DB00001,Lepirudin,BiotechDrug,P00734,Prothrombin
DB01567,Fludiazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB01567,Fludiazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB01567,Fludiazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB01567,Fludiazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB01567,Fludiazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB01567,Fludiazepam,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB01567,Fludiazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB01567,Fludiazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB01567,Fludiazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB01567,Fludiazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB01567,Fludiazepam,SmallMoleculeDrug,P24046,Gamma-aminobutyric acid receptor subunit rho-1
DB01567,Fludiazepam,SmallMoleculeDrug,P28476,Gamma-aminobutyric acid receptor subunit rho-2
DB01567,Fludiazepam,SmallMoleculeDrug,A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3
DB01576,Dextroamphetamine,SmallMoleculeDrug,Q05940,Synaptic vesicular amine transporter
DB01576,Dextroamphetamine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter
DB01576,Dextroamphetamine,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter
DB01576,Dextroamphetamine,SmallMoleculeDrug,Q96RJ0,Trace amine-associated receptor 1
DB01576,Dextroamphetamine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB01576,Dextroamphetamine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor
DB01577,Methamphetamine,SmallMoleculeDrug,Q01959,Sodium-dependent dopamine transporter
DB01577,Methamphetamine,SmallMoleculeDrug,P31645,Sodium-dependent serotonin transporter
DB01577,Methamphetamine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter
DB01577,Methamphetamine,SmallMoleculeDrug,Q05940,Synaptic vesicular amine transporter
DB01577,Methamphetamine,SmallMoleculeDrug,P54219,Chromaffin granule amine transporter
DB01577,Methamphetamine,SmallMoleculeDrug,Q96RJ0,Trace amine-associated receptor 1
DB01577,Methamphetamine,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB01577,Methamphetamine,SmallMoleculeDrug,P18089,Alpha-2B adrenergic receptor
DB01577,Methamphetamine,SmallMoleculeDrug,P18825,Alpha-2C adrenergic receptor
DB01577,Methamphetamine,SmallMoleculeDrug,P21397,Amine oxidase [flavin-containing] A
DB01577,Methamphetamine,SmallMoleculeDrug,P27338,Amine oxidase [flavin-containing] B
DB01579,Phendimetrazine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB01579,Phendimetrazine,SmallMoleculeDrug,P23975,Sodium-dependent noradrenaline transporter
DB01579,Phendimetrazine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor
DB01580,Oxprenolol,SmallMoleculeDrug,P08588,Beta-1 adrenergic receptor
DB01580,Oxprenolol,SmallMoleculeDrug,P07550,Beta-2 adrenergic receptor
DB01581,Sulfamerazine,SmallMoleculeDrug,P0AC13,Dihydropteroate synthase
DB01582,Sulfamethazine,SmallMoleculeDrug,P0AC13,Dihydropteroate synthase
DB01583,Liotrix,SmallMoleculeDrug,P10827,Thyroid hormone receptor alpha
DB01583,Liotrix,SmallMoleculeDrug,P10828,Thyroid hormone receptor beta
DB01586,Ursodeoxycholic acid,SmallMoleculeDrug,P52895,Aldo-keto reductase family 1 member C2
DB01587,Ketazolam,SmallMoleculeDrug,P30536,Translocator protein
DB01587,Ketazolam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB01587,Ketazolam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB01587,Ketazolam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB01587,Ketazolam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB01587,Ketazolam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB01588,Prazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB01588,Prazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB01588,Prazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB01588,Prazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB01588,Prazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB01588,Prazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB01588,Prazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB01588,Prazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB01588,Prazepam,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB01588,Prazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB01588,Prazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB01588,Prazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB01588,Prazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB01588,Prazepam,SmallMoleculeDrug,P24046,Gamma-aminobutyric acid receptor subunit rho-1
DB01588,Prazepam,SmallMoleculeDrug,P28476,Gamma-aminobutyric acid receptor subunit rho-2
DB01588,Prazepam,SmallMoleculeDrug,A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3
DB01588,Prazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB01588,Prazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB01588,Prazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB01588,Prazepam,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB01588,Prazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB01588,Prazepam,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB01588,Prazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB01588,Prazepam,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB01588,Prazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB01588,Prazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB01588,Prazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB01588,Prazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB01588,Prazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB01588,Prazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB01588,Prazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB01588,Prazepam,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB01589,Quazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB01589,Quazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB01589,Quazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB01589,Quazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB01589,Quazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB01589,Quazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB01589,Quazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB01589,Quazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB01589,Quazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB01589,Quazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB01589,Quazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB01589,Quazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB01589,Quazepam,SmallMoleculeDrug,P24046,Gamma-aminobutyric acid receptor subunit rho-1
DB01589,Quazepam,SmallMoleculeDrug,P28476,Gamma-aminobutyric acid receptor subunit rho-2
DB01589,Quazepam,SmallMoleculeDrug,A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3
DB01589,Quazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB01589,Quazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB01589,Quazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB01589,Quazepam,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB01589,Quazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB01589,Quazepam,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB01589,Quazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB01589,Quazepam,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB01589,Quazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB01589,Quazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB01589,Quazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB01589,Quazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB01589,Quazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB01589,Quazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB01589,Quazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB01589,Quazepam,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB01590,Everolimus,SmallMoleculeDrug,P42345,Serine/threonine-protein kinase mTOR
DB01591,Solifenacin,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3
DB01591,Solifenacin,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1
DB01591,Solifenacin,SmallMoleculeDrug,P08172,Muscarinic acetylcholine receptor M2
DB01591,Solifenacin,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4
DB01591,Solifenacin,SmallMoleculeDrug,P08912,Muscarinic acetylcholine receptor M5
DB01594,Cinolazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB01594,Cinolazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB01594,Cinolazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB01594,Cinolazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB01594,Cinolazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB01594,Cinolazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB01594,Cinolazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB01594,Cinolazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB01594,Cinolazepam,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB01594,Cinolazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB01594,Cinolazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB01594,Cinolazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB01594,Cinolazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB01594,Cinolazepam,SmallMoleculeDrug,P24046,Gamma-aminobutyric acid receptor subunit rho-1
DB01594,Cinolazepam,SmallMoleculeDrug,P28476,Gamma-aminobutyric acid receptor subunit rho-2
DB01594,Cinolazepam,SmallMoleculeDrug,A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3
DB01595,Nitrazepam,SmallMoleculeDrug,P14867,Gamma-aminobutyric acid receptor subunit alpha-1
DB01595,Nitrazepam,SmallMoleculeDrug,P47869,Gamma-aminobutyric acid receptor subunit alpha-2
DB01595,Nitrazepam,SmallMoleculeDrug,P34903,Gamma-aminobutyric acid receptor subunit alpha-3
DB01595,Nitrazepam,SmallMoleculeDrug,P48169,Gamma-aminobutyric acid receptor subunit alpha-4
DB01595,Nitrazepam,SmallMoleculeDrug,P31644,Gamma-aminobutyric acid receptor subunit alpha-5
DB01595,Nitrazepam,SmallMoleculeDrug,Q16445,Gamma-aminobutyric acid receptor subunit alpha-6
DB01595,Nitrazepam,SmallMoleculeDrug,P18505,Gamma-aminobutyric acid receptor subunit beta-1
DB01595,Nitrazepam,SmallMoleculeDrug,P47870,Gamma-aminobutyric acid receptor subunit beta-2
DB01595,Nitrazepam,SmallMoleculeDrug,P28472,Gamma-aminobutyric acid receptor subunit beta-3
DB01595,Nitrazepam,SmallMoleculeDrug,Q8N1C3,Gamma-aminobutyric acid receptor subunit gamma-1
DB01595,Nitrazepam,SmallMoleculeDrug,P18507,Gamma-aminobutyric acid receptor subunit gamma-2
DB01595,Nitrazepam,SmallMoleculeDrug,Q99928,Gamma-aminobutyric acid receptor subunit gamma-3
DB01595,Nitrazepam,SmallMoleculeDrug,O14764,Gamma-aminobutyric acid receptor subunit delta
DB01595,Nitrazepam,SmallMoleculeDrug,P78334,Gamma-aminobutyric acid receptor subunit epsilon
DB01595,Nitrazepam,SmallMoleculeDrug,O00591,Gamma-aminobutyric acid receptor subunit pi
DB01595,Nitrazepam,SmallMoleculeDrug,P24046,Gamma-aminobutyric acid receptor subunit rho-1
DB01595,Nitrazepam,SmallMoleculeDrug,P28476,Gamma-aminobutyric acid receptor subunit rho-2
DB01595,Nitrazepam,SmallMoleculeDrug,A8MPY1,Gamma-aminobutyric acid receptor subunit rho-3
DB01595,Nitrazepam,SmallMoleculeDrug,Q9UN88,Gamma-aminobutyric acid receptor subunit theta
DB01595,Nitrazepam,SmallMoleculeDrug,P35498,Sodium channel protein type 1 subunit alpha
DB01597,Cilastatin,SmallMoleculeDrug,P16444,Dipeptidase 1
DB01598,Imipenem,SmallMoleculeDrug,P0AD65,Penicillin-binding protein 2
DB01598,Imipenem,SmallMoleculeDrug,P02919,Penicillin-binding protein 1B
DB01598,Imipenem,SmallMoleculeDrug,P02918,Penicillin-binding protein 1A
DB01598,Imipenem,SmallMoleculeDrug,P42971,Penicillin-binding protein 3
DB01598,Imipenem,SmallMoleculeDrug,P00807,Beta-lactamase
DB01599,Probucol,SmallMoleculeDrug,O95477,ATP-binding cassette sub-family A member 1
DB01599,Probucol,SmallMoleculeDrug,P23141,Liver carboxylesterase 1
DB01600,Tiaprofenic acid,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB01600,Tiaprofenic acid,SmallMoleculeDrug,P23219,Prostaglandin G/H synthase 1
DB01601,Lopinavir,SmallMoleculeDrug,Q72874,Pol polyprotein
DB01602,Bacampicillin,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A
DB01603,Meticillin,SmallMoleculeDrug,Q53707,MecA PBP2' (penicillin binding protein 2')
DB01603,Meticillin,SmallMoleculeDrug,Q8DNB6,Penicillin-binding protein 2a
DB01603,Meticillin,SmallMoleculeDrug,Q7CRA4,Penicillin-binding protein 1b
DB01603,Meticillin,SmallMoleculeDrug,P0A3M6,Penicillin-binding protein 2B
DB01603,Meticillin,SmallMoleculeDrug,Q75Y35,Penicillin-binding protein 3
DB01603,Meticillin,SmallMoleculeDrug,Q8DR59,Penicillin-binding protein 1A
DB01604,Pivampicillin,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A
DB01605,Pivmecillinam,SmallMoleculeDrug,Q8XJ01,Penicillin-binding protein 1A
DB01606,Tazobactam,SmallMoleculeDrug,P0AD63,Beta-lactamase SHV-1
DB01606,Tazobactam,SmallMoleculeDrug,P62594,Beta-lactamase TEM
DB01607,Ticarcillin,SmallMoleculeDrug,C1KC03,Penicillin binding protein 2a
DB01608,Propericiazine,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB01608,Propericiazine,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB01608,Propericiazine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor
DB01611,Hydroxychloroquine,SmallMoleculeDrug,Q9NYK1,Toll-like receptor 7
DB01611,Hydroxychloroquine,SmallMoleculeDrug,Q9NR96,Toll-like receptor 9
DB01612,Amyl Nitrite,SmallMoleculeDrug,P16066,Atrial natriuretic peptide receptor 1
DB01613,Erythrityl Tetranitrate,SmallMoleculeDrug,P16066,Atrial natriuretic peptide receptor 1
DB01613,Erythrityl Tetranitrate,SmallMoleculeDrug,P20594,Atrial natriuretic peptide receptor 2
DB01614,Acepromazine,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB01614,Acepromazine,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB01614,Acepromazine,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB01614,Acepromazine,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB01614,Acepromazine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB01614,Acepromazine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor
DB01615,Aceprometazine,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB01616,Alverine,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB01618,Molindone,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB01618,Molindone,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB01618,Molindone,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB01618,Molindone,SmallMoleculeDrug,P11229,Muscarinic acetylcholine receptor M1
DB01619,Phenindamine,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB01620,Pheniramine,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB01621,Pipotiazine,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB01621,Pipotiazine,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB01621,Pipotiazine,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB01621,Pipotiazine,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB01622,Thioproperazine,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB01622,Thioproperazine,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB01622,Thioproperazine,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB01622,Thioproperazine,SmallMoleculeDrug,P08908,5-hydroxytryptamine receptor 1A
DB01622,Thioproperazine,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB01622,Thioproperazine,SmallMoleculeDrug,P35368,Alpha-1B adrenergic receptor
DB01623,Thiothixene,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB01623,Thiothixene,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB01623,Thiothixene,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB01624,Zuclopenthixol,SmallMoleculeDrug,P21728,D(1A) dopamine receptor
DB01624,Zuclopenthixol,SmallMoleculeDrug,P21918,D(1B) dopamine receptor
DB01624,Zuclopenthixol,SmallMoleculeDrug,P14416,D(2) dopamine receptor
DB01624,Zuclopenthixol,SmallMoleculeDrug,P35348,Alpha-1A adrenergic receptor
DB01624,Zuclopenthixol,SmallMoleculeDrug,P08913,Alpha-2A adrenergic receptor
DB01624,Zuclopenthixol,SmallMoleculeDrug,P28223,5-hydroxytryptamine receptor 2A
DB01624,Zuclopenthixol,SmallMoleculeDrug,P35367,Histamine H1 receptor
DB01625,Isopropamide,SmallMoleculeDrug,P20309,Muscarinic acetylcholine receptor M3
DB01625,Isopropamide,SmallMoleculeDrug,P08173,Muscarinic acetylcholine receptor M4
DB01626,Pargyline,SmallMoleculeDrug,P27338,Amine oxidase [flavin-containing] B
DB01626,Pargyline,SmallMoleculeDrug,P21397,Amine oxidase [flavin-containing] A
DB01627,Lincomycin,SmallMoleculeDrug,P0A7J6,50S ribosomal protein L10
DB01628,Etoricoxib,SmallMoleculeDrug,P35354,Prostaglandin G/H synthase 2
DB01638,D-Sorbitol,SmallMoleculeDrug,P24300,Xylose isomerase
DB01638,D-Sorbitol,SmallMoleculeDrug,P12851,Xylose isomerase
DB01638,D-Sorbitol,SmallMoleculeDrug,P12070,Xylose isomerase
DB01638,D-Sorbitol,SmallMoleculeDrug,P37330,Malate synthase G
DB01656,Roflumilast,SmallMoleculeDrug,Q08499,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
DB01656,Roflumilast,SmallMoleculeDrug,P27815,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A"
DB01656,Roflumilast,SmallMoleculeDrug,Q07343,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"
DB01656,Roflumilast,SmallMoleculeDrug,Q08493,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C"
DB01744,Camphor,SmallMoleculeDrug,P00183,Camphor 5-monooxygenase
DB01764,Dalfopristin,SmallMoleculeDrug,P50870,Streptogramin A acetyltransferase
DB02187,Equilin,SmallMoleculeDrug,P14061,Estradiol 17-beta-dehydrogenase 1
DB02300,Calcipotriol,SmallMoleculeDrug,P11473,Vitamin D3 receptor
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P30793,GTP cyclohydrolase 1
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P00782,Subtilisin BPN'
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P07998,Ribonuclease pancreatic
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P07478,Trypsin-2
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,Q46509,Aldehyde oxidoreductase
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P17900,Ganglioside GM2 activator
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P43133,Thermolysin
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,Q13231,Chitotriosidase-1
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P23526,Adenosylhomocysteinase
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,Q13838,Spliceosome RNA helicase DDX39B
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P23367,DNA mismatch repair protein MutL
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,Q04095,Gag-Pro-Pol polyprotein
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P03706,Endolysin
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P0AES2,Glucarate dehydratase
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,O60942,mRNA-capping enzyme
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P41407,FMN-dependent NADH-azoreductase
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,O67757,Transcription termination/antitermination protein NusG
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,Q9BV57,"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P43026,Growth/differentiation factor 5
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P01625,Ig kappa chain V-IV region Len
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,Q9X592,Pectate lyase
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P05893,Gag polyprotein
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P14555,"Phospholipase A2, membrane associated"
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P71143,Scaffolding dockerin binding protein A
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,Q8YWS4,Alr1529 protein
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,Q7Z4W1,L-xylulose reductase
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P30041,Peroxiredoxin-6
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,Q9WZD5,Putative deoxyribonuclease YcfH
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P01375,Tumor necrosis factor
DB02325,Isopropyl Alcohol,SmallMoleculeDrug,P13686,Tartrate-resistant acid phosphatase type 5
DB02546,Vorinostat,SmallMoleculeDrug,Q13547,Histone deacetylase 1
DB02546,Vorinostat,SmallMoleculeDrug,Q92769,Histone deacetylase 2
DB02546,Vorinostat,SmallMoleculeDrug,O15379,Histone deacetylase 3
DB02546,Vorinostat,SmallMoleculeDrug,Q9UBN7,Histone deacetylase 6
DB02546,Vorinostat,SmallMoleculeDrug,Q9BY41,Histone deacetylase 8
DB02546,Vorinostat,SmallMoleculeDrug,O67135,Acetoin utilization protein
DB02638,Terlipressin,SmallMoleculeDrug,P37288,Vasopressin V1a receptor
DB02638,Terlipressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor
DB02638,Terlipressin,SmallMoleculeDrug,P47901,Vasopressin V1b receptor
DB02659,Cholic Acid,SmallMoleculeDrug,P22830,"Ferrochelatase, mitochondrial"
DB02659,Cholic Acid,SmallMoleculeDrug,P00326,Alcohol dehydrogenase 1C
DB02659,Cholic Acid,SmallMoleculeDrug,P62508,Estrogen-related receptor gamma
DB02659,Cholic Acid,SmallMoleculeDrug,P51161,Gastrotropin
DB02659,Cholic Acid,SmallMoleculeDrug,P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial"
DB02659,Cholic Acid,SmallMoleculeDrug,P00395,Cytochrome c oxidase subunit 1
DB02659,Cholic Acid,SmallMoleculeDrug,P00403,Cytochrome c oxidase subunit 2
DB02659,Cholic Acid,SmallMoleculeDrug,P00414,Cytochrome c oxidase subunit 3
DB02659,Cholic Acid,SmallMoleculeDrug,P20674,"Cytochrome c oxidase subunit 5A, mitochondrial"
DB02659,Cholic Acid,SmallMoleculeDrug,P10606,"Cytochrome c oxidase subunit 5B, mitochondrial"
DB02659,Cholic Acid,SmallMoleculeDrug,P09669,Cytochrome c oxidase subunit 6C
DB02659,Cholic Acid,SmallMoleculeDrug,P24311,"Cytochrome c oxidase subunit 7B, mitochondrial"
DB02659,Cholic Acid,SmallMoleculeDrug,P15954,"Cytochrome c oxidase subunit 7C, mitochondrial"
DB02659,Cholic Acid,SmallMoleculeDrug,P10176,"Cytochrome c oxidase subunit 8A, mitochondrial"
DB02659,Cholic Acid,SmallMoleculeDrug,Q02221,"Cytochrome c oxidase subunit 6A2, mitochondrial"
